        FAIL [   0.084s] gix-dir::dir walk::submodules
        FAIL [   0.076s] gix-dir::dir walk::symlink_to_dir_can_be_excluded
        FAIL [   0.072s] gix-dir::dir walk::top_level_slash_with_negations
        FAIL [   0.056s] gix-dir::dir walk::type_mismatch
        FAIL [   0.065s] gix-dir::dir walk::type_mismatch_ignore_case
        FAIL [   0.074s] gix-dir::dir walk::type_mismatch_ignore_case_clash_dir_is_file
        FAIL [   0.077s] gix-dir::dir walk::type_mismatch_ignore_case_clash_file_is_dir
        FAIL [   0.076s] gix-dir::dir walk::untracked_and_ignored
        FAIL [   0.081s] gix-dir::dir walk::untracked_and_ignored_collapse_handling_for_deletion_mixed
        FAIL [   0.080s] gix-dir::dir walk::untracked_and_ignored_collapse_handling_for_deletion_with_prefix_wildcards
        FAIL [   0.076s] gix-dir::dir walk::untracked_and_ignored_collapse_handling_for_deletion_with_wildcards
        FAIL [   0.067s] gix-dir::dir walk::untracked_and_ignored_collapse_handling_mixed
        FAIL [   0.062s] gix-dir::dir walk::untracked_and_ignored_collapse_handling_mixed_with_prefix
        FAIL [   0.055s] gix-dir::dir walk::untracked_and_ignored_collapse_mix
        FAIL [   0.068s] gix-dir::dir walk::untracked_and_ignored_for_deletion_negative_wildcard_spec
        FAIL [   0.065s] gix-dir::dir walk::untracked_and_ignored_for_deletion_nonmatching_wildcard_spec
        FAIL [   0.069s] gix-dir::dir walk::untracked_and_ignored_for_deletion_positive_wildcard_spec
        FAIL [   0.066s] gix-dir::dir walk::untracked_and_ignored_pathspec_guidance
        FAIL [   0.062s] gix-dir::dir walk::walk_with_submodule
        FAIL [   0.011s] gix-dir::dir walk::worktree_root_can_be_symlink
        FAIL [   0.012s] gix-dir::dir_walk_cwd prefixes_work_as_expected
        FAIL [   0.040s] gix-discover::discover is_git::bare_repo_with_index_file_looks_still_looks_like_bare
        FAIL [   0.042s] gix-discover::discover is_git::bare_repo_with_index_file_looks_still_looks_like_bare_if_it_was_renamed
